Address,Name Tag,Balance,Percentage,Txn Count
"0x0000000000000000000000000000000000001004","BSC: Token Hub","136,893,538.70872334 BNB","--","5,510,190"
"0xf977814e90da44bfa03b6295a0616a897441acec","Binance: Hot Wallet 20","4,023,881.29569529 BNB","10.18368391%","8,483"
"0x000000000000000000000000000000000000dead","Null: 0x000...dEaD","2,316,938.65699721 BNB","5.86373434%","13,792"
"0x835678a611b28684005a5e2233695fb6cbbb0007","","2,035,794.19268946 BNB","5.15221078%","59"
"0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c","BNB Chain: WBNB Token","1,567,301.50709287 BNB","3.96654423%","9,729,147"
"0xe48ff82faa5aab796bb7e1f2208cb43008462022","","1,524,198.27869874 BNB","3.85745810%","1"
"0xb4c7b55664622ed960b3418e626d868a2151c470","","1,473,270.72512006 BNB","3.72857007%","1"
"0xc437593d9c296bf9a5002522a86dad8a4d4af808","","1,420,263.36879971 BNB","3.59441846%","1"
"0xec06cb25d9add4bdd67b61432163aff9028aa921","","1,279,238.91881864 BNB","3.23751220%","2"
"0x2804ada1c219e50898e75b2bd052030580f4fbac","","1,118,168.64047057 BNB","2.82987374%","1"
"0xbe7e6c64fbe05fcdac6d11e8cc83cdf5e1a32399","","1,056,542.15935479 BNB","2.67390875%","1"
"0x489a8756c18c0b8b24ec2a2b9ff3d4d447f79bec","BNB Bridge Exploiter","1,020,095.20628425 BNB","2.58166839%","133"
"0x6cbeecb3a0591eaab5d4a6380f0bbbafb06859f2","","978,418.3386702 BNB","2.47619211%","1"
"0xa07c5b74c9b40447a954e1466938b865b6bbea36","Venus: vBNB Token","895,848.22493749 BNB","2.26722274%","875,479"
"0x57d6be3ba78e611e71e8de981309f85ee5cb67e4","","885,783.12331868 BNB","2.24174986%","2"
"0x17592497267112e1d764ed49bb0c78f8073e9d7b","","871,800.74768542 BNB","2.20636311%","1"
"0xefbb75e446ec2d8493b3d4d91ac3118953f69b55","","823,254.16233195 BNB","2.08350087%","1"
"0x487f2663c8e134eb98495249bba5c602a89ceaa7","","799,592.60959005 BNB","2.02361794%","0"
"0x857afcc43ba66cfab52ed8d92c01bda3072705d0","","758,631.56313403 BNB","1.91995327%","1"
"0xf1e586c740c2d7622ea4114a7ee0033fbfbc8563","","741,647.43856914 BNB","1.87696966%","1"
"0x2d09c57cb8eaf970deeaf30546ec4dc3781c63cf","","668,019.88298397 BNB","1.69063221%","2"
"0x8e01cf1c95fe6699c06aac0a9f3e33297778d682","","607,543.33727569 BNB","1.53757749%","1"
"0xf378f76a9c334f9c337bd3aa1704278d7fd3f0e1","","545,210.98300862 BNB","1.37982607%","1"
"0x30e0be360d1e7c6dd3f7c54e2f098b9cab1a9227","","530,525.38188651 BNB","1.34265959%","1"
"0xd7a2d4ba21abac4e4d8569f572975ddd139067fc","","471,370.94656051 BNB","1.19295088%","1"
"0x8894e0a0c962cb723c1976a4421c95949be2d4e3","Binance: Hot Wallet 6","440,686.09891877 BNB","1.11529332%","33,675,198"
"0x5a52e96bacdabb82fd05763e25335261b270efcb","Binance: Hot Wallet 22","424,204.93273061 BNB","1.07358260%","2,636"
"0x831d7345efc4a0ad0056ec98d3a0fd35ae4790a8","","406,654.94716395 BNB","1.02916690%","0"
"0x6006a1d3e973f2e4e575fc006a56396ebefc8dbd","","399,854.30935297 BNB","1.01195577%","0"
"0x3890f2104045548ba7d933740a440405d58cc4b3","","398,677.59018031 BNB","1.00897772%","1"
"0x4afc633e7b6beb8e552ccddbe06cca3754991e9a","","397,691.37378783 BNB","1.00648179%","1"
"0xf7c5625578bd28777a69d7b0bb3e3c2292bbd560","","364,948.19336901 BNB","0.92361498%","1"
"0x9c065e07da5f95e11c0baefdaac648dff6df4bfc","","258,284.1955762 BNB","0.65366854%","1"
